Country,INDICATOR,Indicator,MEASURE,Measure,INEQUALITY,Inequality,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
Australia,SW_LIFS,Life satisfaction,L,Value,TOT,Total,AVSCORE,Average score,0,Units,,,7.3,,
Austria,SW_LIFS,Life satisfaction,L,Value,TOT,Total,AVSCORE,Average score,0,Units,,,7.1,,
Belgium,SW_LIFS,Life satisfaction,L,Value,TOT,Total,AVSCORE,Average score,0,Units,,,6.9,,
Canada,SW_LIFS,Life satisfaction,L,Value,TOT,Total,AVSCORE,Average score,0,Units,,,7.4,,
Czech Republic,SW_LIFS,Life satisfaction,L,Value,TOT,Total,AVSCORE,Average score,0,Units,,,6.7,,
Denmark,SW_LIFS,Life satisfaction,L,Value,TOT,Total,AVSCORE,Average score,0,Units,,,7.6,,
Finland,SW_LIFS,Life satisfaction,L,Value,TOT,Total,AVSCORE,Average score,0,Units,,,7.6,,
France,SW_LIFS,Life satisfaction,L,Value,TOT,Total,AVSCORE,Average score,0,Units,,,6.5,,
Germany,SW_LIFS,Life satisfaction,L,Value,TOT,Total,AVSCORE,Average score,0,Units,,,7,,
Greece,SW_LIFS,Life satisfaction,L,Value,TOT,Total,AVSCORE,Average score,0,Units,,,5.4,,
Hungary,SW_LIFS,Life satisfaction,L,Value,TOT,Total,AVSCORE,Average score,0,Units,,,5.6,,
Iceland,SW_LIFS,Life satisfaction,L,Value,TOT,Total,AVSCORE,Average score,0,Units,,,7.5,,
Ireland,SW_LIFS,Life satisfaction,L,Value,TOT,Total,AVSCORE,Average score,0,Units,,,7,,
Italy,SW_LIFS,Life satisfaction,L,Value,TOT,Total,AVSCORE,Average score,0,Units,,,6,,
Japan,SW_LIFS,Life satisfaction,L,Value,TOT,Total,AVSCORE,Average score,0,Units,,,5.9,,
Korea,SW_LIFS,Life satisfaction,L,Value,TOT,Total,AVSCORE,Average score,0,Units,,,5.9,,
Luxembourg,SW_LIFS,Life satisfaction,L,Value,TOT,Total,AVSCORE,Average score,0,Units,,,6.9,,
Mexico,SW_LIFS,Life satisfaction,L,Value,TOT,Total,AVSCORE,Average score,0,Units,,,6.5,,
Netherlands,SW_LIFS,Life satisfaction,L,Value,TOT,Total,AVSCORE,Average score,0,Units,,,7.4,,
New Zealand,SW_LIFS,Life satisfaction,L,Value,TOT,Total,AVSCORE,Average score,0,Units,,,7.3,,
Norway,SW_LIFS,Life satisfaction,L,Value,TOT,Total,AVSCORE,Average score,0,Units,,,7.6,,
Poland,SW_LIFS,Life satisfaction,L,Value,TOT,Total,AVSCORE,Average score,0,Units,,,6.1,,
Portugal,SW_LIFS,Life satisfaction,L,Value,TOT,Total,AVSCORE,Average score,0,Units,,,5.4,,
Slovak Republic,SW_LIFS,Life satisfaction,L,Value,TOT,Total,AVSCORE,Average score,0,Units,,,6.2,,
Spain,SW_LIFS,Life satisfaction,L,Value,TOT,Total,AVSCORE,Average score,0,Units,,,6.3,,
Sweden,SW_LIFS,Life satisfaction,L,Value,TOT,Total,AVSCORE,Average score,0,Units,,,7.3,,
Switzerland,SW_LIFS,Life satisfaction,L,Value,TOT,Total,AVSCORE,Average score,0,Units,,,7.5,,
Turkey,SW_LIFS,Life satisfaction,L,Value,TOT,Total,AVSCORE,Average score,0,Units,,,5.5,,
United Kingdom,SW_LIFS,Life satisfaction,L,Value,TOT,Total,AVSCORE,Average score,0,Units,,,6.8,,
United States,SW_LIFS,Life satisfaction,L,Value,TOT,Total,AVSCORE,Average score,0,Units,,,6.9,,
Brazil,SW_LIFS,Life satisfaction,L,Value,TOT,Total,AVSCORE,Average score,0,Units,,,6.4,,
Chile,SW_LIFS,Life satisfaction,L,Value,TOT,Total,AVSCORE,Average score,0,Units,,,6.5,,
Estonia,SW_LIFS,Life satisfaction,L,Value,TOT,Total,AVSCORE,Average score,0,Units,,,5.7,,
Israel,SW_LIFS,Life satisfaction,L,Value,TOT,Total,AVSCORE,Average score,0,Units,,,7.2,,
Latvia,SW_LIFS,Life satisfaction,L,Value,TOT,Total,AVSCORE,Average score,0,Units,,,5.9,,
Russia,SW_LIFS,Life satisfaction,L,Value,TOT,Total,AVSCORE,Average score,0,Units,,,5.8,,
Slovenia,SW_LIFS,Life satisfaction,L,Value,TOT,Total,AVSCORE,Average score,0,Units,,,5.9,,
South Africa,SW_LIFS,Life satisfaction,L,Value,TOT,Total,AVSCORE,Average score,0,Units,,,4.7,,
OECD - Total,SW_LIFS,Life satisfaction,L,Value,TOT,Total,AVSCORE,Average score,0,Units,,,6.5,,
Australia,SW_LIFS,Life satisfaction,L,Value,MN,Men,AVSCORE,Average score,0,Units,,,7.2,,
Austria,SW_LIFS,Life satisfaction,L,Value,MN,Men,AVSCORE,Average score,0,Units,,,7.1,,
Belgium,SW_LIFS,Life satisfaction,L,Value,MN,Men,AVSCORE,Average score,0,Units,,,6.9,,
Canada,SW_LIFS,Life satisfaction,L,Value,MN,Men,AVSCORE,Average score,0,Units,,,7.3,,
Czech Republic,SW_LIFS,Life satisfaction,L,Value,MN,Men,AVSCORE,Average score,0,Units,,,6.7,,
Denmark,SW_LIFS,Life satisfaction,L,Value,MN,Men,AVSCORE,Average score,0,Units,,,7.5,,
Finland,SW_LIFS,Life satisfaction,L,Value,MN,Men,AVSCORE,Average score,0,Units,,,7.5,,
France,SW_LIFS,Life satisfaction,L,Value,MN,Men,AVSCORE,Average score,0,Units,,,6.6,,
Germany,SW_LIFS,Life satisfaction,L,Value,MN,Men,AVSCORE,Average score,0,Units,,,7,,
Greece,SW_LIFS,Life satisfaction,L,Value,MN,Men,AVSCORE,Average score,0,Units,,,5.3,,
Hungary,SW_LIFS,Life satisfaction,L,Value,MN,Men,AVSCORE,Average score,0,Units,,,5.6,,
Iceland,SW_LIFS,Life satisfaction,L,Value,MN,Men,AVSCORE,Average score,0,Units,,,7.4,,
Ireland,SW_LIFS,Life satisfaction,L,Value,MN,Men,AVSCORE,Average score,0,Units,,,7,,
Italy,SW_LIFS,Life satisfaction,L,Value,MN,Men,AVSCORE,Average score,0,Units,,,6.2,,
Japan,SW_LIFS,Life satisfaction,L,Value,MN,Men,AVSCORE,Average score,0,Units,,,5.8,,
Korea,SW_LIFS,Life satisfaction,L,Value,MN,Men,AVSCORE,Average score,0,Units,,,5.6,,
Luxembourg,SW_LIFS,Life satisfaction,L,Value,MN,Men,AVSCORE,Average score,0,Units,,,7,,
Mexico,SW_LIFS,Life satisfaction,L,Value,MN,Men,AVSCORE,Average score,0,Units,,,6.4,,
Netherlands,SW_LIFS,Life satisfaction,L,Value,MN,Men,AVSCORE,Average score,0,Units,,,7.4,,
New Zealand,SW_LIFS,Life satisfaction,L,Value,MN,Men,AVSCORE,Average score,0,Units,,,7.2,,
Norway,SW_LIFS,Life satisfaction,L,Value,MN,Men,AVSCORE,Average score,0,Units,,,7.6,,
Poland,SW_LIFS,Life satisfaction,L,Value,MN,Men,AVSCORE,Average score,0,Units,,,6,,
Portugal,SW_LIFS,Life satisfaction,L,Value,MN,Men,AVSCORE,Average score,0,Units,,,5.4,,
Slovak Republic,SW_LIFS,Life satisfaction,L,Value,MN,Men,AVSCORE,Average score,0,Units,,,6.3,,
Spain,SW_LIFS,Life satisfaction,L,Value,MN,Men,AVSCORE,Average score,0,Units,,,6.2,,
Sweden,SW_LIFS,Life satisfaction,L,Value,MN,Men,AVSCORE,Average score,0,Units,,,7.3,,
Switzerland,SW_LIFS,Life satisfaction,L,Value,MN,Men,AVSCORE,Average score,0,Units,,,7.5,,
Turkey,SW_LIFS,Life satisfaction,L,Value,MN,Men,AVSCORE,Average score,0,Units,,,5.4,,
United Kingdom,SW_LIFS,Life satisfaction,L,Value,MN,Men,AVSCORE,Average score,0,Units,,,6.9,,
United States,SW_LIFS,Life satisfaction,L,Value,MN,Men,AVSCORE,Average score,0,Units,,,6.8,,
Brazil,SW_LIFS,Life satisfaction,L,Value,MN,Men,AVSCORE,Average score,0,Units,,,6.2,,
Chile,SW_LIFS,Life satisfaction,L,Value,MN,Men,AVSCORE,Average score,0,Units,,,6.5,,
Estonia,SW_LIFS,Life satisfaction,L,Value,MN,Men,AVSCORE,Average score,0,Units,,,5.8,,
Israel,SW_LIFS,Life satisfaction,L,Value,MN,Men,AVSCORE,Average score,0,Units,,,7.2,,
Latvia,SW_LIFS,Life satisfaction,L,Value,MN,Men,AVSCORE,Average score,0,Units,,,5.9,,
Russia,SW_LIFS,Life satisfaction,L,Value,MN,Men,AVSCORE,Average score,0,Units,,,5.9,,
Slovenia,SW_LIFS,Life satisfaction,L,Value,MN,Men,AVSCORE,Average score,0,Units,,,6,,
South Africa,SW_LIFS,Life satisfaction,L,Value,MN,Men,AVSCORE,Average score,0,Units,,,4.7,,
OECD - Total,SW_LIFS,Life satisfaction,L,Value,MN,Men,AVSCORE,Average score,0,Units,,,6.5,,
Australia,SW_LIFS,Life satisfaction,L,Value,WMN,Women,AVSCORE,Average score,0,Units,,,7.4,,
Austria,SW_LIFS,Life satisfaction,L,Value,WMN,Women,AVSCORE,Average score,0,Units,,,7.1,,
Belgium,SW_LIFS,Life satisfaction,L,Value,WMN,Women,AVSCORE,Average score,0,Units,,,6.9,,
Canada,SW_LIFS,Life satisfaction,L,Value,WMN,Women,AVSCORE,Average score,0,Units,,,7.4,,
Czech Republic,SW_LIFS,Life satisfaction,L,Value,WMN,Women,AVSCORE,Average score,0,Units,,,6.7,,
Denmark,SW_LIFS,Life satisfaction,L,Value,WMN,Women,AVSCORE,Average score,0,Units,,,7.6,,
Finland,SW_LIFS,Life satisfaction,L,Value,WMN,Women,AVSCORE,Average score,0,Units,,,7.8,,
France,SW_LIFS,Life satisfaction,L,Value,WMN,Women,AVSCORE,Average score,0,Units,,,6.4,,
Germany,SW_LIFS,Life satisfaction,L,Value,WMN,Women,AVSCORE,Average score,0,Units,,,7,,
Greece,SW_LIFS,Life satisfaction,L,Value,WMN,Women,AVSCORE,Average score,0,Units,,,5.4,,
Hungary,SW_LIFS,Life satisfaction,L,Value,WMN,Women,AVSCORE,Average score,0,Units,,,5.6,,
Iceland,SW_LIFS,Life satisfaction,L,Value,WMN,Women,AVSCORE,Average score,0,Units,,,7.6,,
Ireland,SW_LIFS,Life satisfaction,L,Value,WMN,Women,AVSCORE,Average score,0,Units,,,7,,
Italy,SW_LIFS,Life satisfaction,L,Value,WMN,Women,AVSCORE,Average score,0,Units,,,5.9,,
Japan,SW_LIFS,Life satisfaction,L,Value,WMN,Women,AVSCORE,Average score,0,Units,,,6,,
Korea,SW_LIFS,Life satisfaction,L,Value,WMN,Women,AVSCORE,Average score,0,Units,,,6.1,,
Luxembourg,SW_LIFS,Life satisfaction,L,Value,WMN,Women,AVSCORE,Average score,0,Units,,,6.8,,
Mexico,SW_LIFS,Life satisfaction,L,Value,WMN,Women,AVSCORE,Average score,0,Units,,,6.5,,
Netherlands,SW_LIFS,Life satisfaction,L,Value,WMN,Women,AVSCORE,Average score,0,Units,,,7.5,,
New Zealand,SW_LIFS,Life satisfaction,L,Value,WMN,Women,AVSCORE,Average score,0,Units,,,7.4,,
Norway,SW_LIFS,Life satisfaction,L,Value,WMN,Women,AVSCORE,Average score,0,Units,,,7.6,,
Poland,SW_LIFS,Life satisfaction,L,Value,WMN,Women,AVSCORE,Average score,0,Units,,,6.2,,
Portugal,SW_LIFS,Life satisfaction,L,Value,WMN,Women,AVSCORE,Average score,0,Units,,,5.5,,
Slovak Republic,SW_LIFS,Life satisfaction,L,Value,WMN,Women,AVSCORE,Average score,0,Units,,,6.1,,
Spain,SW_LIFS,Life satisfaction,L,Value,WMN,Women,AVSCORE,Average score,0,Units,,,6.4,,
Sweden,SW_LIFS,Life satisfaction,L,Value,WMN,Women,AVSCORE,Average score,0,Units,,,7.3,,
Switzerland,SW_LIFS,Life satisfaction,L,Value,WMN,Women,AVSCORE,Average score,0,Units,,,7.5,,
Turkey,SW_LIFS,Life satisfaction,L,Value,WMN,Women,AVSCORE,Average score,0,Units,,,5.5,,
United Kingdom,SW_LIFS,Life satisfaction,L,Value,WMN,Women,AVSCORE,Average score,0,Units,,,6.7,,
United States,SW_LIFS,Life satisfaction,L,Value,WMN,Women,AVSCORE,Average score,0,Units,,,6.9,,
Brazil,SW_LIFS,Life satisfaction,L,Value,WMN,Women,AVSCORE,Average score,0,Units,,,6.6,,
Chile,SW_LIFS,Life satisfaction,L,Value,WMN,Women,AVSCORE,Average score,0,Units,,,6.5,,
Estonia,SW_LIFS,Life satisfaction,L,Value,WMN,Women,AVSCORE,Average score,0,Units,,,5.7,,
Israel,SW_LIFS,Life satisfaction,L,Value,WMN,Women,AVSCORE,Average score,0,Units,,,7.1,,
Latvia,SW_LIFS,Life satisfaction,L,Value,WMN,Women,AVSCORE,Average score,0,Units,,,6,,
Russia,SW_LIFS,Life satisfaction,L,Value,WMN,Women,AVSCORE,Average score,0,Units,,,5.8,,
Slovenia,SW_LIFS,Life satisfaction,L,Value,WMN,Women,AVSCORE,Average score,0,Units,,,5.9,,
South Africa,SW_LIFS,Life satisfaction,L,Value,WMN,Women,AVSCORE,Average score,0,Units,,,4.7,,
OECD - Total,SW_LIFS,Life satisfaction,L,Value,WMN,Women,AVSCORE,Average score,0,Units,,,6.6,,
Australia,SW_LIFS,Life satisfaction,L,Value,HGH,High,AVSCORE,Average score,0,Units,,,7.5,,
Austria,SW_LIFS,Life satisfaction,L,Value,HGH,High,AVSCORE,Average score,0,Units,,,7.6,,
Belgium,SW_LIFS,Life satisfaction,L,Value,HGH,High,AVSCORE,Average score,0,Units,,,7.3,,
Canada,SW_LIFS,Life satisfaction,L,Value,HGH,High,AVSCORE,Average score,0,Units,,,7.6,,
Denmark,SW_LIFS,Life satisfaction,L,Value,HGH,High,AVSCORE,Average score,0,Units,,,7.9,,
Finland,SW_LIFS,Life satisfaction,L,Value,HGH,High,AVSCORE,Average score,0,Units,,,8.2,,
France,SW_LIFS,Life satisfaction,L,Value,HGH,High,AVSCORE,Average score,0,Units,,,7.3,,
Germany,SW_LIFS,Life satisfaction,L,Value,HGH,High,AVSCORE,Average score,0,Units,,,7.4,,
Greece,SW_LIFS,Life satisfaction,L,Value,HGH,High,AVSCORE,Average score,0,Units,,,6.2,,
Hungary,SW_LIFS,Life satisfaction,L,Value,HGH,High,AVSCORE,Average score,0,Units,,,6.5,,
Iceland,SW_LIFS,Life satisfaction,L,Value,HGH,High,AVSCORE,Average score,0,Units,,,8,,
Ireland,SW_LIFS,Life satisfaction,L,Value,HGH,High,AVSCORE,Average score,0,Units,,,7.2,,
Italy,SW_LIFS,Life satisfaction,L,Value,HGH,High,AVSCORE,Average score,0,Units,,,6.9,,
Netherlands,SW_LIFS,Life satisfaction,L,Value,HGH,High,AVSCORE,Average score,0,Units,,,7.7,,
Norway,SW_LIFS,Life satisfaction,L,Value,HGH,High,AVSCORE,Average score,0,Units,,,7.8,,
Portugal,SW_LIFS,Life satisfaction,L,Value,HGH,High,AVSCORE,Average score,0,Units,,,6.4,,
Slovak Republic,SW_LIFS,Life satisfaction,L,Value,HGH,High,AVSCORE,Average score,0,Units,,,7.1,,
Sweden,SW_LIFS,Life satisfaction,L,Value,HGH,High,AVSCORE,Average score,0,Units,,,7.7,,
Turkey,SW_LIFS,Life satisfaction,L,Value,HGH,High,AVSCORE,Average score,0,Units,,,6,,
United Kingdom,SW_LIFS,Life satisfaction,L,Value,HGH,High,AVSCORE,Average score,0,Units,,,7.1,,
United States,SW_LIFS,Life satisfaction,L,Value,HGH,High,AVSCORE,Average score,0,Units,,,7.4,,
Chile,SW_LIFS,Life satisfaction,L,Value,HGH,High,AVSCORE,Average score,0,Units,,,7.2,,
Estonia,SW_LIFS,Life satisfaction,L,Value,HGH,High,AVSCORE,Average score,0,Units,,,6.3,,
Israel,SW_LIFS,Life satisfaction,L,Value,HGH,High,AVSCORE,Average score,0,Units,,,7.4,,
Latvia,SW_LIFS,Life satisfaction,L,Value,HGH,High,AVSCORE,Average score,0,Units,,,6.5,,
Russia,SW_LIFS,Life satisfaction,L,Value,HGH,High,AVSCORE,Average score,0,Units,,,6.2,,
OECD - Total,SW_LIFS,Life satisfaction,L,Value,HGH,High,AVSCORE,Average score,0,Units,,,7,,
Finland,SW_LIFS,Life satisfaction,L,Value,LW,Low,AVSCORE,Average score,0,Units,,,7.2,,
France,SW_LIFS,Life satisfaction,L,Value,LW,Low,AVSCORE,Average score,0,Units,,,5.9,,
Greece,SW_LIFS,Life satisfaction,L,Value,LW,Low,AVSCORE,Average score,0,Units,,,4.4,,
Hungary,SW_LIFS,Life satisfaction,L,Value,LW,Low,AVSCORE,Average score,0,Units,,,5.1,,
Iceland,SW_LIFS,Life satisfaction,L,Value,LW,Low,AVSCORE,Average score,0,Units,,,7.4,,
Italy,SW_LIFS,Life satisfaction,L,Value,LW,Low,AVSCORE,Average score,0,Units,,,5.7,,
Norway,SW_LIFS,Life satisfaction,L,Value,LW,Low,AVSCORE,Average score,0,Units,,,7.5,,
Portugal,SW_LIFS,Life satisfaction,L,Value,LW,Low,AVSCORE,Average score,0,Units,,,4.7,,
Spain,SW_LIFS,Life satisfaction,L,Value,LW,Low,AVSCORE,Average score,0,Units,,,6,,
Turkey,SW_LIFS,Life satisfaction,L,Value,LW,Low,AVSCORE,Average score,0,Units,,,5.2,,
United Kingdom,SW_LIFS,Life satisfaction,L,Value,LW,Low,AVSCORE,Average score,0,Units,,,6.8,,
Chile,SW_LIFS,Life satisfaction,L,Value,LW,Low,AVSCORE,Average score,0,Units,,,5.7,,
Estonia,SW_LIFS,Life satisfaction,L,Value,LW,Low,AVSCORE,Average score,0,Units,,,5.4,,
Latvia,SW_LIFS,Life satisfaction,L,Value,LW,Low,AVSCORE,Average score,0,Units,,,5.4,,
Russia,SW_LIFS,Life satisfaction,L,Value,LW,Low,AVSCORE,Average score,0,Units,,,5.7,,
OECD - Total,SW_LIFS,Life satisfaction,L,Value,LW,Low,AVSCORE,Average score,0,Units,,,5.8,,
Colombia,SW_LIFS,Life satisfaction,L,Value,TOT,Total,AVSCORE,Average score,0,Units,,,6.3,,
Lithuania,SW_LIFS,Life satisfaction,L,Value,TOT,Total,AVSCORE,Average score,0,Units,,,5.9,,
Colombia,SW_LIFS,Life satisfaction,L,Value,MN,Men,AVSCORE,Average score,0,Units,,,6.2,,
Lithuania,SW_LIFS,Life satisfaction,L,Value,MN,Men,AVSCORE,Average score,0,Units,,,5.9,,
Colombia,SW_LIFS,Life satisfaction,L,Value,WMN,Women,AVSCORE,Average score,0,Units,,,6.3,,
Lithuania,SW_LIFS,Life satisfaction,L,Value,WMN,Women,AVSCORE,Average score,0,Units,,,6,,
Lithuania,SW_LIFS,Life satisfaction,L,Value,HGH,High,AVSCORE,Average score,0,Units,,,6.5,,
Lithuania,SW_LIFS,Life satisfaction,L,Value,LW,Low,AVSCORE,Average score,0,Units,,,5.6,,
